Customer ID,Recency,Frequency,Monetary,Maximum,Minimum,Median,R,F,M,RFM_Segment_Concat,RFM_Score,RFM_Level
12346,67,46,-64.67999999999981,45.0,-142.31,7.49,2,3,1,231,6.0,Potential
12347,3,71,1323.3199999999997,70.80000000000001,7.800000000000001,15.0,4,3,3,433,10.0,Can't Loose Them
12348,74,20,222.16000000000003,17.4,1.0,11.7,2,2,1,221,5.0,Promising
12349,43,107,2646.9900000000016,250.0,-14.95,17.0,3,4,4,344,11.0,Can't Loose Them
12351,11,21,300.93,23.4,9.899999999999999,14.850000000000001,4,2,2,422,8.0,Champions
12352,11,18,343.79999999999995,30.0,9.899999999999999,17.85,4,1,2,412,7.0,Loyal
12353,44,20,317.75999999999993,39.6,5.04,15.0,3,2,2,322,7.0,Loyal
12355,203,22,488.2099999999999,59.400000000000006,5.04,19.849999999999998,1,2,2,122,5.0,Promising
12356,16,84,3562.249999999998,424.5,0.85,17.55,4,3,4,434,11.0,Can't Loose Them
12357,24,165,12079.98999999999,850.0,10.08,34.0,3,4,4,344,11.0,Can't Loose Them
12358,11,58,2719.0100000000016,297.0,1.65,18.240000000000002,4,3,4,434,11.0,Can't Loose Them
12359,61,121,2469.3599999999988,99.9,-68.0,16.95,2,4,4,244,10.0,Can't Loose Them
12360,15,89,1550.83,120.0,-40.0,13.6,4,3,3,433,10.0,Can't Loose Them
12361,98,19,321.35,33.0,14.75,16.5,2,2,2,222,6.0,Potential
12362,374,1,130.0,130.0,130.0,130.0,1,1,1,111,3.0,Require Activation
12366,269,3,500.24,175.76,162.24,162.24,1,1,2,112,4.0,Needs Attention
12368,264,18,917.6999999999999,119.39999999999999,15.0,46.15,1,1,3,113,5.0,Promising
12369,49,93,1791.15,200.0,5.04,15.0,3,3,4,334,10.0,Can't Loose Them
12370,260,35,774.6200000000001,160.0,12.5,17.700000000000003,1,2,3,123,6.0,Potential
12371,45,104,2179.4199999999996,240.0,5.04,15.850000000000001,3,4,4,344,11.0,Can't Loose Them
12373,260,37,763.0500000000002,80.0,6.8,16.5,1,2,3,123,6.0,Potential
